text,sentiment,Timestamp,Platform,Hashtags,Country
 Enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, Twitter  , #Nature #Park                            , USA      
 Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, Twitter  , #Traffic #Morning                        , Canada   
 Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, Instagram , #Fitness #Workout                        , USA        
 Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, Facebook , #Travel #Adventure                       , UK       
 Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, Instagram , #Cooking #Food                           , Australia 
 Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, Twitter  , #Gratitude #PositiveVibes              , India    
 Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, Facebook , #RainyDays #Cozy                         , Canada   
 The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, Instagram , #MovieNight #MustWatch                  , USA    
 Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, Twitter  , #Politics #Debate                       , USA      
 Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, Facebook , #Summer #BeachDays                      , Australia 
 Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, Instagram , #Blogging #NewPost                      ,USA
 Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, Twitter  , #SickDay #Health                        , Canada   
 Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, Facebook , #CityExplore #HiddenGems                , UK       
" New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, Instagram , #NewYear #FitnessGoals                  , USA        
 Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, Twitter  , #Tech #Innovation                       , India    
 Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Facebook , #Reflection #Future                     , USA      
 Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, Instagram , #PetAdoption #FurryFriend               , Canada    
 Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, Twitter  , #Gaming #LateNight                      , UK       
 Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, Facebook , #AI #TechConference                     ,USA
 Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, Instagram , #WinterBlues #Mood                      , USA       
 Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Twitter  , #Reading #CoffeeTime                    , India    
 Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, Facebook , #VR #VirtualReality                     ,USA
 Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, Instagram , #Productivity #WorkFromHome           , USA 
 Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, Twitter  , #Fitness #ChallengeAccepted             , UK       
 Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, Facebook , #Career #Milestone                      , Canada  
 Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, Instagram , #Brunch #Friends                       , UK 
 Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, Facebook , #LanguageLearning #PersonalGrowth       , India     
 Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, Instagram , #Reading #QuietTime                     , Australia 
 Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, Twitter  , #MentalHealth #SelfCare                 , USA      
 New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, Facebook , #Art #PaintingInProgress             , Canada 
 Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, Instagram , #RoadTrip #ScenicViews                  , UK        
 Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, Twitter  , #TeaTime #Sunset                       , India    
 Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, Facebook , #Coding #Enthusiasm                   , USA 
 Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, Instagram , #Inspiration #Workshop                  ,USA
 Winter sports day at the local park.               , Positive  ,2023-01-26 14:20:00, Twitter  , #WinterSports #Fun                     , Canada   
 Quality time with family this weekend.             , Positive  ,2023-01-26 17:40:00, Facebook , #FamilyTime #Weekend                    , UK        
 Attending a live music concert tonight.            , Positive  ,2023-01-27 20:00:00, Instagram , #Music #ConcertNight                  , USA 
 Practicing mindfulness with meditation.            , Positive  ,2023-01-27 12:30:00, Twitter  , #Mindfulness #Meditation               , India    
 Trying out a new dessert recipe.                   , Positive  ,2023-01-27 16:10:00, Facebook , #Dessert #Cooking                      , Canada 
 Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, Instagram , #Gaming #Tournament                     ,USA
 Planning a garden makeover for spring.             , Positive  ,2023-01-28 14:45:00, Twitter  , #Gardening #Spring                     , USA      
